Unit Number,Artiste,Titre,Label,Format,Favorit,Date,URL Photo
1,Septentrio,Cold,Strecke,,,2018,v0001
2,J-Zbel,How I Made My Mom & Sis' My Sexbot Slaves,Brothers From Different Mothers,,,2015,v0002
3,Rainforest Spiritual Enslavement,Venus Flytrap Exotica,Les Disques De La Bretagne,,,2019,v0003
4,Vondelpark,Dracula,R & S Records,,,2013,v0004
5,Pariah (9),Detroit Falls / Orpheus,R & S Records,,,2010,v0005
6,Arno Gonzalez,Faking,Missive,,,2006,v0006
7,Jay Daniel,School Dance EP,Watusi High,,,2015,v0007
8,Morcee,Black Hole,Tight Knit Records,,,2013,v0008
9,Benedikt Frey,Portal,MRT,,,2015,v0009
10,Andy Stott,Luxury Problems,Modern Love,,,2012,v0010
11,Horsepower Productions / Beneath (3),Return To E Remix / WIP,Berceuse Heroique,,,2014,v0011
12,Confetti's,C In China,Disques Déesse,,,1989,v0012
13,Duster Valentine / Members Only (6),The Brasserie Heroique Edits Part 1,Berceuse Heroique,,,2014,v0013
14,Aurora Halal,Passageway,Mutual Dreaming Recordings,,,2014,v0014
15,Japan Blues,The Brasserie Heroique Edits Part 2,Berceuse Heroique,,,2014,v0015
16,Beau Wanzer,Untitled,Indépendant,,,2014,v0016
17,Corporate Park / Beau Wanzer,Untitled,Indépendant,,,2015,v0017
18,Koehler (2) And Kuno (7),Anti Gravity Switch,Berceuse Heroique,,,2015,v0018
19,Beau Wanzer,Untitled,Indépendant,,,2015,v0019
20,Gerstaffelen,Night Flowing North & South ,M>O>S Recordings,,,2014,v0020
21,Chemotex,Thulsa,The Trilogy Tapes,,,2015,v0021
22,Dungeon Acid,The Wait,Börft Records,,,2015,v0022
23,Beau Wanzer,Power Outage,Nation,,,2014,v0023
24,Savage Grounds,Unpleasant Music for Unpleasant People,Lux Rec,,,2015,v0024
25,Mark Broom,One Three O EP,Tortured Records,,,2013,v0025
26,Steve Murphy (12),UK Treatment,Lobster Theremin,,,2015,v0026
27,Locutus,Free Jack EP,DJ Special Needs,,,2007,v0027
28,Lucy (12),Finnegan,Curle Recordings,,,2012,v0028
29,Kris Wadsworth,Uranus 111,Uranus,,,2013,v0029
30,Kris Wadsworth,Uranus 222,Uranus,,,2013,v0030
31,Florian Kupfer,Explora,Technicolour,,,2015,v0031
32,Mono Junk,FP-004,Forbidden Planet,,,2014,v0032
33,Argonic,Future Frontier 007,Future Frontier,,,1997,v0033
34,Mould Impression,Mould EP (Future Frontier 008),Future Frontier,,,1997,v0034
35,Mono Junk,Acid Marylou EP,Skudge White,,,2015,v0035
36,Frak,Primitive Drums,Lux Rec,,,2015,v0036
37,Pris (2),Unbeknown To Us ,Resin,,,2013,v0037
38,D. Carbone Meets Honzo,In A Bipolar Disorder,3TH Records,,,2013,v0038
39,Fokus Group,Nut Nut,Pennyroyal,,,2013,v0039
40,Various,EP2,Inner Surface Music,,,2013,v0040
41,Blawan,What You Do With What You Have,R & S Records,,,2011,v0041
42,Jay Daniel,Scorpio Rising EP,Sound Signature,,,2013,v0042
43,Various,Untitled,Obsession Recordings,,,2014,v0043
44,Matt Whitehead,A Is For Acid,Perc Trax Limited,,,2013,v0044
45,Various,REPITCH 000.2,Repitch Recordings,,,2013,v0045
46,MPIA3,AVN #004,AViAN,,,2012,v0046
47,MPIA3,AVN #005,Avian,,,2012,v0047
48,Savage Grounds,Over Fences,Lux Rec,,,2014,v0048
49,Gilmer Galibard,Brain Poacher,Lobster Theremin,,,2015,v0049
50,Clouds (5),Ghost Systems Rave,Turbo,,,2013,v0050
51,Koehler (2),Dynasty,Berceuse Heroique,,,2014,v0051
52,Vereker,Murder License EP,Berceuse Heroique,,,2014,v0052
53,"Catch (12), Ansome",Untitled,Edge UK,,,2014,v0053
54,Levon Vincent,Levon Vincent,Novel Sound,,,2015,v0054
55,Empfänger,Lost Track,Born Free Records,,,2015,v0055
56,Ekman,Acid7,Berceuse Heroique,,,2014,v0056
57,Beneath (3),Shlocky ,Berceuse Heroique,,,2015,v0057
58,An-i,Gutz,Cititrax,,,2014,v0058
59,Gramrcy,Ruffian,Ancient Monarchy,,,2015,v0059
60,Blawan,His He She & She,Hinge Finger,,,2012,v0060
61,Low Jack,Imaginary Boogie,The Trilogy Tapes,,,2015,v0061
62,PMM (2),Serpent's Promise,Berceuse Heroique,,,2015,v0062
63,EMG,Reaction,Berceuse Heroique,,,2015,v0063
64,Ekman,GMMDI,Berceuse Heroique,,,2015,v0064
65,Luke Slater,Nothing At All,Mute,,,2002,v0065
66,Manuel Gonzales (3),Full Frontal,Berceuse Heroique,,,2014,v0066
67,Dario Zenker,Mörsin,The Trilogy Tapes,,,2014,v0067
68,Barnt,His Name EP,Hinge Finger,,,2014,v0068
69,Blawan,Bohla EP,R & S Records,,,2011,v0069
70,Various,Remodeled And Reworked Vol. 2,Creaked Records,,,2014,v0070
